,,,,,
,,,,,
Sample,Strategy,Tone (1-5),Intent (1-5),Length (1-5),Total (out of 15)
0,zero-shot,,,,
1,zero-shot,,,,
2,zero-shot,,,,
3,zero-shot,,,,
4,zero-shot,,,,
5,zero-shot,,,,
6,zero-shot,,,,
7,zero-shot,,,,
8,zero-shot,,,,
9,zero-shot,,,,
10,zero-shot,,,,
11,zero-shot,,,,
12,zero-shot,,,,
13,zero-shot,,,,
14,zero-shot,,,,
15,zero-shot,,,,
16,zero-shot,,,,
17,zero-shot,,,,
18,zero-shot,,,,
19,zero-shot,,,,
,,,,,
,,,,,
,,,,,
Sample,Strategy,Tone (1-5),Intent (1-5),Length (1-5),Total (out of 15)
0,few-shot (k=3),,,,
1,few-shot (k=3),,,,
2,few-shot (k=3),,,,
3,few-shot (k=3),,,,
4,few-shot (k=3),,,,
5,few-shot (k=3),,,,
6,few-shot (k=3),,,,
7,few-shot (k=3),,,,
8,few-shot (k=3),,,,
9,few-shot (k=3),,,,
10,few-shot (k=3),,,,
11,few-shot (k=3),,,,
12,few-shot (k=3),,,,
13,few-shot (k=3),,,,
14,few-shot (k=3),,,,
15,few-shot (k=3),,,,
16,few-shot (k=3),,,,
17,few-shot (k=3),,,,
18,few-shot (k=3),,,,
19,few-shot (k=3),,,,
,,,,,
,,,,,
,,,,,
Sample,Strategy,Tone (1-5),Intent (1-5),Length (1-5),Total (out of 15)
0,few-shot (k=5),,,,
1,few-shot (k=5),,,,
2,few-shot (k=5),,,,
3,few-shot (k=5),,,,
4,few-shot (k=5),,,,
5,few-shot (k=5),,,,
6,few-shot (k=5),,,,
7,few-shot (k=5),,,,
8,few-shot (k=5),,,,
9,few-shot (k=5),,,,
10,few-shot (k=5),,,,
11,few-shot (k=5),,,,
12,few-shot (k=5),,,,
13,few-shot (k=5),,,,
14,few-shot (k=5),,,,
15,few-shot (k=5),,,,
16,few-shot (k=5),,,,
17,few-shot (k=5),,,,
18,few-shot (k=5),,,,
19,few-shot (k=5),,,,
,,,,,
,,,,,
,,,,,
Sample,Strategy,Tone (1-5),Intent (1-5),Length (1-5),Total (out of 15)
0,CoT,,,,
1,CoT,,,,
2,CoT,,,,
3,CoT,,,,
4,CoT,,,,
5,CoT,,,,
6,CoT,,,,
7,CoT,,,,
8,CoT,,,,
9,CoT,,,,
10,CoT,,,,
11,CoT,,,,
12,CoT,,,,
13,CoT,,,,
14,CoT,,,,
15,CoT,,,,
16,CoT,,,,
17,CoT,,,,
18,CoT,,,,
19,CoT,,,,
